
127 : cwww = -2 , ccw = 0 , cb = -10
128 : cwww = -2 , ccw = 0 , cb = 0
129 : cwww = -2 , ccw = 0 , cb = 10
130 : cwww = -2 , ccw = 2 , cb = -10
131 : cwww = -2 , ccw = 3.5 , cb = 0
132 : cwww = -2 , ccw = 3.5 , cb = 10
133 : cwww = 0 , ccw = -3.5 , cb = -10
134 : cwww = 0 , ccw = -3.5 , cb = 0
135 : cwww = 0 , ccw = -3.5 , cb = 10
136 : cwww = 0 , ccw = 0 , cb = -10
137 : cwww = 0 , ccw = 0 , cb = 10
138 : cwww = 0 , ccw = 3.5 , cb = -10
139 : cwww = 0 , ccw = 3.5 , cb = 0
140 : cwww = 0 , ccw = 3.5 , cb = 10
141 : cwww = 2 , ccw = -3.5 , cb = -10
142 : cwww = 2 , ccw = -3.5 , cb = 0
143 : cwww = 2 , ccw = -3.5 , cb = 10
144 : cwww = 2 , ccw = 0 , cb = -10
145 : cwww = 2 , ccw = 0 , cb = 0
146 : cwww = 2 , ccw = 0 , cb = 10
147 : cwww = 2 , ccw = 3.5 , cb = -10
148 : cwww = 2 , ccw = 3.5 , cb = 0
149 : cwww = 2 , ccw = 3.5 , cb = 10
